№ анкеты;Академическая степень;Факультет;Кафедра;Специальность/Группа образовательных программ;Курс обучения;Язык обучения;Язык заполнения анкеты;"Насколько Вы удовлетворены выбором Вашей образовательной программы?
";"Если бы у Вас была возможность выбрать снова, Вы бы выбрали ту же образовательную программу?
";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.1 Личный интерес к предметной области (что Вам было интересно изучать) ?


";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.2. Ваши знания по школьным предметам (например: математика, физика, биология, история и т.д.)?
";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.3.Ваши личные навыки и способности (логика, коммуникация, творчество, практические умения и др.) ?
";"Когда Вы выбирали образовательную программу, насколько важным для Вас был каждый из следующих факторов, оцените согласно шкале ниже на вопросы
3.4. Совпадение программы с Вашими личными ценностями (например: помогать людям, заниматься инновациями, реализовывать творчество) ?
";"Повлияло ли на ваш выбор наличие гранта/поступление по гранту?
";"Ваш курс обучения:
";"Пол:
"
43;Бакалавриат;Информационных технологий;Кафедра Технологии искусственного интеллекта;Информационные технологии;3;Русский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Очень важно;Средне важно;Важно;Средне важно;Нет, грант не имел значения;3 курс;Мужской
44;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Русский язык;Русский язык;Полностью удовлетворён;Да;Важно;Важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
45;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
46;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
47;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Русский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Не важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
48;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Русский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Средне важно;Средне важно;Средне важно;Средне важно;Нет, грант не имел значения;3 курс;Мужской
49;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;3;Казахский язык;Русский язык;Ни да, ни нет;Да;Важно;Важно;Важно;Важно;Нет, грант не имел значения;3 курс;Женский
50;Бакалавриат;Информационных технологий;Кафедра Технологии искусственного интеллекта;Информационные технологии;3;Казахский язык;Русский язык;Полностью удовлетворён;Затрудняюсь ответить;Средне важно;Средне важно;Важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
51;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Очень важно;Важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Женский
52;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Маловажно;Маловажно;Маловажно;Маловажно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
53;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Нет;Средне важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
54;Бакалавриат;Информационных технологий;Кафедра Технологии искусственного интеллекта;Информационные технологии;3;Казахский язык;Русский язык;Ни да, ни нет;Нет;Средне важно;Важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
55;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Совсем не удовлетворён;Нет;Средне важно;Важно;Очень важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
56;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Скорее удовлетворён;Да;Не важно;Важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
57;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;3;Казахский язык;Русский язык;Скорее не удовлетворён;Затрудняюсь ответить;Маловажно;Средне важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
58;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Казахский язык;Русский язык;Совсем не удовлетворён;Затрудняюсь ответить;Важно;Очень важно;Очень важно;Очень важно;Нет, грант не имел значения;3 курс;Мужской
59;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Важно;Средне важно;Важно;Средне важно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
60;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Ни да, ни нет;Нет;Средне важно;Средне важно;Важно;Маловажно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
61;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Средне важно;Средне важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
62;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Русский язык;Русский язык;Полностью удовлетворён;Да;Средне важно;Средне важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
63;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Ни да, ни нет;Да;Средне важно;Не важно;Средне важно;Важно;Нет, грант не имел значения;3 курс;Женский
64;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
65;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
66;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Полностью удовлетворён;Да;Важно;Важно;Очень важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
67;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Очень важно;Важно;Очень важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
68;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Средне важно;Очень важно;Маловажно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
69;Бакалавриат;Информационных технологий;Кафедра Технологии искусственного интеллекта;Информационные технологии;3;Казахский язык;Русский язык;Скорее не удовлетворён;Нет;Маловажно;Маловажно;Маловажно;Маловажно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
70;Бакалавриат;Информационных технологий;Кафедра Компьютерная и программная инженерия;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Средне важно;Важно;Очень важно;Нет, грант не имел значения;3 курс;Мужской
71;Бакалавриат;Информационных технологий;Кафедра Технологии искусственного интеллекта;Информационные технологии;3;Русский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Средне важно;Маловажно;Средне важно;Средне важно;Нет, грант не имел значения;3 курс;Мужской
72;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Полностью удовлетворён;Нет;Средне важно;Средне важно;Средне важно;Средне важно;Нет, грант не имел значения;3 курс;Мужской
73;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Скорее удовлетворён;Да;Важно;Маловажно;Важно;Маловажно;Да, поступил(а) только из-за наличия гранта;3 курс;Мужской
74;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Совсем не удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
75;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Средне важно;Важно;Важно;Важно;Нет, грант не имел значения;3 курс;Мужской
76;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
77;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Русский язык;Русский язык;Полностью удовлетворён;Да;Очень важно;Очень важно;Очень важно;Очень важно;Нет, грант не имел значения;3 курс;Женский
78;Бакалавриат;Информационных технологий;Кафедра Информатики;Подготовка учителей информатики;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Средне важно;Средне важно;Средне важно;Средне важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
79;Бакалавриат;Информационных технологий;Кафедра Технологии искусственного интеллекта;Информационные технологии;3;Русский язык;Русский язык;Скорее не удовлетворён;Нет;Маловажно;Средне важно;Маловажно;Маловажно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
80;Бакалавриат;Информационных технологий;Кафедра Системного анализа и управления;Электротехника и автоматизация;3;Казахский язык;Русский язык;Скорее удовлетворён;Затрудняюсь ответить;Важно;Важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
81;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Русский язык;Русский язык;Ни да, ни нет;Нет;Важно;Очень важно;Важно;Средне важно;Нет, грант не имел значения;3 курс;Женский
82;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Русский язык;Русский язык;Ни да, ни нет;Затрудняюсь ответить;Важно;Маловажно;Средне важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
83;Бакалавриат;Информационных технологий;Кафедра Технологии искусственного интеллекта;Информационные технологии;3;Казахский язык;Русский язык;Полностью удовлетворён;Нет;Средне важно;Средне важно;Маловажно;Маловажно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
84;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Средне важно;Важно;Средне важно;Нет, грант не имел значения;3 курс;Мужской
85;Бакалавриат;Информационных технологий;Кафедра Технологии искусственного интеллекта;Информационные технологии;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Средне важно;Важно;Важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
86;Бакалавриат;Информационных технологий;Кафедра Информационной безопасности;Информационная безопасность;3;Казахский язык;Русский язык;Скорее удовлетворён;Да;Важно;Средне важно;Очень важно;Маловажно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Женский
87;Бакалавриат;Информационных технологий;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Ни да, ни нет;Да;Средне важно;Средне важно;Важно;Очень важно;Да, наличие гранта сыграло роль, но программа тоже интересовала;3 курс;Мужской
